Duration,Stages,Start,Type
5190.0,Wake|0,0.0,Stages|Stages
30.0,Stage 1 sleep|1,5190.0,Stages|Stages
90.0,Wake|0,5220.0,Stages|Stages
60.0,Stage 1 sleep|1,5310.0,Stages|Stages
90.0,Stage 2 sleep|2,5370.0,Stages|Stages
30.0,Stage 1 sleep|1,5460.0,Stages|Stages
90.0,Stage 2 sleep|2,5490.0,Stages|Stages
90.0,Stage 1 sleep|1,5580.0,Stages|Stages
60.0,Stage 2 sleep|2,5670.0,Stages|Stages
30.0,Wake|0,5730.0,Stages|Stages
240.0,Stage 2 sleep|2,5760.0,Stages|Stages
30.0,Stage 1 sleep|1,6000.0,Stages|Stages
690.0,Stage 2 sleep|2,6030.0,Stages|Stages
2700.0,Wake|0,6720.0,Stages|Stages
30.0,Stage 1 sleep|1,9420.0,Stages|Stages
150.0,Stage 2 sleep|2,9450.0,Stages|Stages
30.0,Wake|0,9600.0,Stages|Stages
30.0,Stage 1 sleep|1,9630.0,Stages|Stages
330.0,Stage 2 sleep|2,9660.0,Stages|Stages
30.0,Stage 1 sleep|1,9990.0,Stages|Stages
330.0,Stage 2 sleep|2,10020.0,Stages|Stages
30.0,Stage 1 sleep|1,10350.0,Stages|Stages
270.0,Stage 2 sleep|2,10380.0,Stages|Stages
60.0,Wake|0,10650.0,Stages|Stages
30.0,Stage 1 sleep|1,10710.0,Stages|Stages
150.0,Wake|0,10740.0,Stages|Stages
90.0,Stage 2 sleep|2,10890.0,Stages|Stages
30.0,Wake|0,10980.0,Stages|Stages
30.0,Stage 1 sleep|1,11010.0,Stages|Stages
30.0,Stage 2 sleep|2,11040.0,Stages|Stages
30.0,Stage 1 sleep|1,11070.0,Stages|Stages
30.0,Stage 2 sleep|2,11100.0,Stages|Stages
30.0,Stage 1 sleep|1,11130.0,Stages|Stages
120.0,Stage 2 sleep|2,11160.0,Stages|Stages
90.0,Wake|0,11280.0,Stages|Stages
60.0,Stage 2 sleep|2,11370.0,Stages|Stages
30.0,Wake|0,11430.0,Stages|Stages
30.0,Stage 1 sleep|1,11460.0,Stages|Stages
60.0,Wake|0,11490.0,Stages|Stages
30.0,Stage 2 sleep|2,11550.0,Stages|Stages
30.0,Stage 1 sleep|1,11580.0,Stages|Stages
240.0,Stage 2 sleep|2,11610.0,Stages|Stages
30.0,Wake|0,11850.0,Stages|Stages
90.0,Stage 2 sleep|2,11880.0,Stages|Stages
30.0,Wake|0,11970.0,Stages|Stages
90.0,Stage 2 sleep|2,12000.0,Stages|Stages
60.0,Stage 1 sleep|1,12090.0,Stages|Stages
90.0,Wake|0,12150.0,Stages|Stages
60.0,Stage 2 sleep|2,12240.0,Stages|Stages
30.0,Stage 1 sleep|1,12300.0,Stages|Stages
150.0,Stage 2 sleep|2,12330.0,Stages|Stages
30.0,Stage 1 sleep|1,12480.0,Stages|Stages
90.0,Stage 2 sleep|2,12510.0,Stages|Stages
210.0,REM sleep|5,12600.0,Stages|Stages
30.0,Wake|0,12810.0,Stages|Stages
30.0,REM sleep|5,12840.0,Stages|Stages
900.0,Wake|0,12870.0,Stages|Stages
60.0,Stage 1 sleep|1,13770.0,Stages|Stages
30.0,Wake|0,13830.0,Stages|Stages
30.0,Stage 1 sleep|1,13860.0,Stages|Stages
30.0,Stage 2 sleep|2,13890.0,Stages|Stages
30.0,Stage 1 sleep|1,13920.0,Stages|Stages
60.0,Stage 2 sleep|2,13950.0,Stages|Stages
150.0,Wake|0,14010.0,Stages|Stages
30.0,Stage 2 sleep|2,14160.0,Stages|Stages
30.0,Stage 1 sleep|1,14190.0,Stages|Stages
120.0,Stage 2 sleep|2,14220.0,Stages|Stages
60.0,Stage 1 sleep|1,14340.0,Stages|Stages
390.0,Stage 2 sleep|2,14400.0,Stages|Stages
120.0,Wake|0,14790.0,Stages|Stages
60.0,Stage 1 sleep|1,14910.0,Stages|Stages
120.0,Stage 2 sleep|2,14970.0,Stages|Stages
30.0,Stage 1 sleep|1,15090.0,Stages|Stages
120.0,Stage 2 sleep|2,15120.0,Stages|Stages
30.0,Stage 3 sleep|3,15240.0,Stages|Stages
390.0,Stage 2 sleep|2,15270.0,Stages|Stages
240.0,Wake|0,15660.0,Stages|Stages
60.0,Stage 1 sleep|1,15900.0,Stages|Stages
180.0,Stage 2 sleep|2,15960.0,Stages|Stages
30.0,Wake|0,16140.0,Stages|Stages
330.0,Stage 2 sleep|2,16170.0,Stages|Stages
60.0,Wake|0,16500.0,Stages|Stages
90.0,Stage 2 sleep|2,16560.0,Stages|Stages
30.0,Stage 1 sleep|1,16650.0,Stages|Stages
60.0,Stage 2 sleep|2,16680.0,Stages|Stages
30.0,Stage 1 sleep|1,16740.0,Stages|Stages
30.0,Stage 2 sleep|2,16770.0,Stages|Stages
30.0,Stage 1 sleep|1,16800.0,Stages|Stages
390.0,Stage 2 sleep|2,16830.0,Stages|Stages
30.0,Stage 1 sleep|1,17220.0,Stages|Stages
60.0,Stage 2 sleep|2,17250.0,Stages|Stages
930.0,Wake|0,17310.0,Stages|Stages
30.0,Stage 1 sleep|1,18240.0,Stages|Stages
60.0,Stage 2 sleep|2,18270.0,Stages|Stages
150.0,Stage 1 sleep|1,18330.0,Stages|Stages
60.0,Stage 2 sleep|2,18480.0,Stages|Stages
30.0,Stage 3 sleep|3,18540.0,Stages|Stages
60.0,Stage 2 sleep|2,18570.0,Stages|Stages
30.0,Wake|0,18630.0,Stages|Stages
30.0,Stage 1 sleep|1,18660.0,Stages|Stages
120.0,Stage 2 sleep|2,18690.0,Stages|Stages
30.0,Wake|0,18810.0,Stages|Stages
540.0,Stage 2 sleep|2,18840.0,Stages|Stages
60.0,Wake|0,19380.0,Stages|Stages
